BRANCH_NAME,BRANCH_TYPE_ID
Agrabad Branch,3
Fakirapool Branch,3
Mudaforgonj Branch,3
Malibagh Chowdhury Para Branch,3
Chawk Bazar (BAR) Branch,3
Joydebpur Branch,3
Bagerhat Branch,3
Ramgarh Sub Branch,4
Charfashion Branch,3
Sonargaon Branch,3
Keshabpur Sub Branch,4
Eastern Plaza Branch,3
Trishal Sub Branch,4
Begumganj Branch,3
Bhangura Branch,3
Sreemangal Branch,3
Babu Bazar Branch,3
Munshiganj Branch,3
Magura Branch,3
Narayanganj Zone,2
Meherpur Branch,3
Narayanganj Branch,3
Feni Branch,3
Gazipura Branch,3
Goala Bazar Branch,3
Pallabi Branch,3
Chaprashirhat Sub Branch,4
Mohammadpur Branch,3
Rajgonj Road Branch,3
Chawk Bazar (DHK) Branch,3
Poura Park Market Branch,3
Jibannagar Sub Branch,4
Foreign Exchange Branch,3
Mathbaria Branch,3
Banijya Shakha,3
Laldighirpar Branch,3
Ladies Branch,3
Satmasjid Road Branch,3
Pirojpur Branch,3
Brahmanbaria Branch,3
Banasree Branch,3
Dholaikhal Branch,3
Lalmohan Branch,3
Shahjadpur Branch,3
Laldighi Branch,3
Banga Bandhu Avenue Branch,3
Barishal Zone,2
Companigonj Branch (Cumilla),3
North Shahjahanpur Branch,3
Naogaon Branch,3
Bashundhara Sub Branch,4
Gheor Branch,3
Aulad Hossain Market Branch,3
Tan Bazar Branch,3
Sherpur Sub Branch,4
AERE EPZ Branch,3
Sarkarkhana Branch,3
Haluaghat Branch,3
Ashuganj Sub Branch,4
Beani Bazar Branch,3
Head Office,1
Khatungonj Branch,3
Bandartila Branch,3
Sadarghat Branch(CTG),3
Gopinathpur Branch,3
Baraiyarhat Branch,3
Nazir Bazar Branch,3
Savar Branch,3
Nawabpur Branch,3
Circle-1 Branch,3
Halishahar Branch,3
Khepupara Branch,3
Kalabagan Branch,3
Shantinagar Branch,3
Paduar Bazar Sub Branch,4
Sylhet Branch,3
Puran Bazar Sub Branch,4
Raipur Branch,3
Satkhira Branch,3
Mymensingh Zone,2
Joypurhat Branch,3
Daganbhuiyan Sub Branch,4
Birampur Sub Branch,4
Rangamati Branch,3
Naya Bazar Branch,3
Kalmakanda Sub Branch,4
Darus Salam Road Branch,3
